species	state
Saurauia_waldheimii	0
Saurauia_yasicae	0
Saurauia_scabrida	0
Saurauia_zahlbruckneri	0
Saurauia_kegeliana	0
Saurauia_aspera	0
Saurauia_montana	0
Saurauia_spectabilis	0
Saurauia_chaparensis	0
Saurauia_biserrata	0
Saurauia_magnifica	0
Saurauia_ursina	0
Saurauia_pittieri	0
Saurauia_parviflora	0
Saurauia_bullosa	0
Saurauia_choriophylla	0
Saurauia_polyneura	0
Saurauia_napaulensis	0
Saurauia_subspinosa	0
Saurauia_malayana	0
Saurauia_conferta	0
Saurauia_macrotricha	0
Saurauia_roxburghii	0
Saurauia_fasciculata	0
Saurauia_tristyla	0
Saurauia_novoguineensis	0
Saurauia_ferox	0
Saurauia_tewensis	0
Saurauia_leprosa	0
Saurauia_pentapetala	0
Roridula_gorgonias	2
Symplocos_pycnantha	0
Cordyloblaste_henschelii	0
Styrax_carranzae	0
Rehderodendron_kwangtungense	0
Perkinsiodendron_macgregorii	0
Pterostyrax_hispidus	0
Halesia_diptera	0
Changiostyrax_dolichocarpus	0
Melliodendron_xylocarpum	0
Sinojackia_microcarpa	0
Bruinsmia_styracoides	0
Alniphyllum_fortunei	0
Huodendron_tibeticum	0
Diapensia_lapponica	0
Schizocodon_ilicifolius	0
Shortia_galacifolia	0
Berneuxia_thibetica	0
Pyxidanthera_barbulata	0
Galax_urceolata	0
Primula_warshenewskiana	0
Dionysia_mira	0
Androsace_umbellata	0
Dodecatheon_meadia	0
Soldanella_villosa	0
Hottonia_inflata	0
Omphalogramma_vinciflorum	0
Douglasia_alaskana	0
Pomatosace_filicula	0
Lysimachia_maritima	0
Cyclamen_cilicium	0
Badula_balfouriana	0
Oncostemum_palmiforme	0
Sadiria_aberrans	0
Ardisia_guianensis	0
Embelia_parviflora	0
Myrsine_platystigma	0
Cybianthus_peruvianus	0
Pleiomeris_canariensis	0
Heberdenia_excelsa	0
Monoporus_bipinnatus	0
Aegiceras_corniculatum	0
Samolus_spathulatus	0
Bonellia_stenophylla	0
Jacquinia_aculeata	0
Clavija_domingensis	0
Theophrasta_americana	0
Maesa_salicifolia	0
Diospyros_mun	0
Euclea_undulata	0
Lissocarpa_guianensis	0
Eschweilera_subglandulosa	0
Lecythis_confertiflora	0
Corythophora_rimosa	0
Bertholletia_excelsa	0
Couratari_stellata	0
Allantoma_lineata	0
Couroupita_guianensis	0
Gustavia_grandibracteata	0
Grias_peruviana	0
Barringtonia_asiatica	0
Chydenanthus_excelsus	0
Petersianthus_macrocarpus	0
Careya_arborea	0
Oubanguia_alata	0
Scytopetalum_klaineanum	0
Napoleonaea_talbotii	0
Pouteria_eugeniifolia	0
Chromolucuma_apiculata	0
Chrysophyllum_cuneifolium	0
Pradosia_ptychandra	0
Diploon_cuspidatum	0
Sarcaulus_brasiliensis	0
Elaeoluma_glabrescens	0
Aubregrinia_taiensis	0
Ecclinusa_lanceolata	0
Synsepalum_stipulatum	0
Micropholis_longipedicellata	0
Planchonella_brevipedicellata	0
Pleioluma_papyracea	0
Pycnandra_paucinervia	0
Pichonia_balansae	0
Niemeyera_whitei	0
Amorphospermum_antilogum	0
Sersalisia_luzoniensis	0
Van-Royena_castanosperma	0
Madhuca_macrophylla	0
Donella_bangweolensis	0
Aningeria_adolfi-friederici	0
Magodendron_mennyae	0
Breviea_sericea	0
Delpydora_macrophylla	0
Neohemsleya_usambarensis	0
Englerophytum_natalense	0
Omphalocarpum_strombocarpum	0
Xantolis_siamensis	0
Sideroxylon_oxyacantha	0
Manilkara_bequaertii	0
Letestua_durissima	0
Labourdonnaisia_madagascariensis	0
Faucherea_thouvenotii	0
Labramia_costata	0
Autranella_congolensis	0
Mimusops_laurifolia	0
Tieghemella_heckelii	0
Vitellariopsis_dispar	0
Vitellaria_paradoxa	0
Baillonella_toxisperma	0
Inhambanella_henriquesii	0
Burckella_pachyphylla	0
Payena_leerii	0
Diploknema_butyracea	0
Isonandra_lanceolata	0
Aulandra_longifolia	0
Palaquium_impressinervium	0
Capurodendron_greveanum	0
Bemangidia_lowryi	0
Northia_seychellana	0
Tsebona_macrantha	0
Lecomtedoxa_klaineana	0
Neolemonniera_clitandrifolia	0
Argania_spinosa	0
Eberhardtia_aurata	0
Sarcosperma_kachinense	0
Camellia_pachyandra	0
Adinandra_acuminata	0
Polyspora_hainanensis	0
Apterosperma_oblata	0
Pyrenaria_diospyricarpa	0
Gordonia_fruticosa	0
Schima_noronhae	0
Franklinia_alatamaha	0
Stewartia_sichuanensis	0
Phlox_gracilis	0
Leptosiphon_ciliatus	0
Gymnosteris_parvula	0
Linanthus_inyoensis	0
Maculigilia_maculata	0
Polemonium_foliosissimum	0
Navarretia_tagetina	0
Allophyllum_capillare	0
Collomia_mazama	0
Collomiastrum_debile	0
Gilia_stellata	0
