species	state
435	Picria_fel-terrae	0
436	Torenia_flava	0
437	Stemodiopsis_buchananii	0
438	Cubitanthus_alatus	0
439	Byblis_gigantea	1
440	Byblis_lamellata	1
441	Byblis_liniflora	1
442	Dermatobotrys_saundersii	0
443	Dischisma_fruticosum	0
444	Microdon_orbicularis	0
445	Cromidon_decumbens	0
446	Selago_longiflora	0
447	Melanospermum_foliosum	0
448	Tetraselago_longituba	0
449	Glumicalyx_montanus	0
450	Polycarena_filiformis	0
451	Phyllopodium_cuneifolium	0
452	Pseudoselago_bella	0
453	Chenopodiopsis_retrorsa	0
454	Zaluzianskya_capensis	0
455	Hebenstretia_lanceolata	0
456	Trieenea_glutinosa	0
457	Glekia_krebsiana	0
458	Manulea_schaeferi	0
459	Chaenostoma_hispidum	0
460	Sutera_foetida	0
461	Manuleopsis_dinteri	0
462	Barthlottia_madagascariensis	0
463	Limosella_macrantha	0
464	Jamesbrittenia_megadenia	0
465	Oreosolen_wattii	0
466	Scrophularia_chrysantha	0
467	Verbascum_speciosum	0
468	Antherothamnus_pearsonii	0
469	Buddleja_normaniae	0
470	Oftia_africana	0
471	Teedia_pubescens	0
472	Freylinia_lanceolata	0
473	Camptoloma_rotundifolia	0
474	Phygelius_capensis	0
475	Nemesia_fruticans	0
476	Diascia_capsularis	0
477	Diclis_reptans	0
478	Hemimeris_sabulosa	0
479	Alonsoa_meridionalis	0
480	Colpias_mollis	0
481	Capraria_biflora	0
482	Eremogeton_grandiflorus	0
483	Leucophyllum_mojinense	0
484	Myoporum_platycarpum	0
485	Bontia_daphnoides	0
486	Peliostomum_leucorrhizum	0
487	Aptosimum_indivisum	0
488	Erica_australis	0
489	Calluna_vulgaris	0
490	Daboecia_cantabrica	0
491	Rhododendron_albrechtii	0
492	Ledothamnus_sessiliflorus	0
493	Empetrum_rubrum	0
494	Corema_album	0
495	Ceratiola_ericoides	0
496	Bryanthus_gmelinii	0
497	Kalmia_latifolia	0
498	Elliottia_racemosa	0
499	Bejaria_racemosa	0
